SoC,SoH,Battery_Voltage,Battery_Temperature,Driving_Speed,Load_Weight,Ambient_Temperature,Range_Left_km
43.708610696262625,81.80906560832327,344.8368982160038,34.990107311871604,92.99983109899703,183.13375534830698,21.907228418608696,73.75650284123256
95.56428757689245,84.20306978125065,339.9494515477684,42.40240317537783,38.45119955987116,154.67835662921806,12.964622676709656,196.84732515644774
75.87945476302646,95.6364217960654,321.1384695003432,36.88000341969,54.663969436988616,643.7727556692977,38.22492624319704,161.76307399254918
63.8792635777333,80.20013158179677,372.8720004121785,22.49907749335389,86.32806368578183,969.5046902434793,0.9489225492119093,111.87159770898037
24.041677639819287,96.08949054436513,357.19489926103546,25.56740710350666,68.20893445244799,552.4491780592516,19.392820799947035,37.412412930753334
24.03950683025824,72.64403292930075,403.8841190788804,26.579845520927574,93.85710386348939,146.36370334537463,25.01050074951113,48.109765361464554
15.227525095137953,93.30395311625892,303.853149657847,27.735927609345346,116.12079012228597,299.0967904697105,31.278224467269084,9.727890130811724
87.95585311974416,95.4264289916421,377.2641513066152,36.96210175851513,31.65466877151975,320.31361577419364,10.348551521400353,179.95198185488712
64.1003510568888,75.45452958512016,391.55386542138734,35.1189733947618,90.95677163980609,404.07141622325497,24.346095382874076,94.79515605021874
73.7265320016441,82.91039597116601,391.1383883025968,26.094801150926266,43.034415563211454,139.24304522759138,5.160073569214138,150.98647478546897
11.85260448662222,74.96499323990967,406.328876051463,22.026645303670612,61.44767274075692,914.4034304481246,11.773804618091013,5.745215006328362
97.29188669457949,91.19812386982653,387.4840491395393,25.14296613424154,23.286272579513984,564.0075502493457,34.78135656016996,221.37356467691103
84.91983767203796,86.0604330418497,411.33720739772355,49.5314393785581,33.590738229269895,703.8377136586981,37.495380466547715,177.3259453050749
29.110519961044854,89.05970040124963,339.918791978507,34.05640849374417,51.97772890488997,160.45555320550807,25.940867346363234,51.64922273658518
26.364247048639054,75.89460900868633,360.38513001018515,46.02036514106337,54.198580528798495,148.70392102328447,8.717594538809252,38.224873338053676
26.506405886809045,76.35237586157258,301.68955959394685,45.4625740000653,109.95852164620958,627.8209948364926,31.002889498733204,29.46832675570797
37.381801866358394,71.2449197652972,300.83491047639495,35.345586723886214,94.18129092665151,898.5664094537872,-8.706645913728991,67.02125451403701
57.228078846901404,79.66202605587189,328.8151944541824,41.200631253816304,117.2182968187041,575.6338008635923,-4.862704473028947,103.40267316210114
48.87505167779042,86.79233984001024,312.09686365669023,25.78256031238137,79.90715103352406,890.0372553130643,23.068686818768057,108.07528370822322
36.21062261782377,95.73804741991987,331.2253641522904,40.65190114780725,44.1713732091318,829.8921457497154,4.562428763502872,82.36009257725867
65.06676052501416,90.00782342376041,321.24519534340766,28.171537377898687,52.765502992164286,168.26840721542868,37.56931092002389,138.81786898170324
22.554447458683764,83.06188970199254,303.4224029806378,44.961862902624524,51.98359232919671,281.7617269471209,11.803030604615238,28.625784305316895
36.29301836816963,98.59360343182414,409.11649756872595,22.511723993267296,52.64943276632516,691.9396022398082,11.468241019458851,79.28734392083747
42.97256589643225,91.57735601727495,300.986775766667,43.19416018655832,87.29641731118157,499.15124429503743,23.903975509546562,84.05300325560377
51.046298579533236,97.9049560858765,388.32985732045023,22.998107197058587,73.08079280904161,361.6298322822285,28.378428115309482,113.08129006228495
80.66583652537122,85.82763919816497,318.25774643034197,46.43567710682927,58.54241780866443,476.7704704431812,13.777936906256826,160.37102056865223
